file,status,error,bank_name,year,presence,tokens,out_tokens
y6report_1127409_OLIVER-BC_2022,passed,,"Oliver Bancorporation, Inc.",2022,securities,13864,748
y6report_1127409_OLIVER-BC_2023,passed,,"Oliver Bancorporation, Inc.",2023,securities,16552,748
y6report_1127409_OLIVER-BC_2024,passed,,"OLIVER BANCORPORATION, INC.",2024,both,5851,3187
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2013,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2013,both,14059,1984
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2014,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2014,both,16370,1919
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2015,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2015,both,5456,1878
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2016,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2016,both,5102,1689
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2017,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2017,both,4566,1849
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2018,passed,,State Bank of Bottineau Holding Company,2018,both,12894,1782
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2019,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2019,both,5146,1838
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2020,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2020,both,14120,1845
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2021,passed,,STATE BANK OF BOTTINEAU HOLDING COMPANY,2021,both,18491,1564
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2022,passed,,State Bank of Bottineau Holding Company,2022,both,3949,1857
y6report_1127436_STATE-BK-OF-BOTTINEAU-HC_2023,passed,,State Bank of Bottineau Holding Company,2023,insiders,3533,1277
y6report_1127481_CITIZENS-BHC_2013,passed,,CITIZENS BANK HOLDING COMPANY,2013,both,5344,777
y6report_1127481_CITIZENS-BHC_2014,passed,,CITIZENS BANK HOLDING COMPANY,2014,both,15366,962
y6report_1127481_CITIZENS-BHC_2015,passed,,Citizens Bank Holding Company,2015,both,5437,899
y6report_1127481_CITIZENS-BHC_2016,passed,,Citizens Bank Holding Company,2016,both,14561,1223
y6report_1127481_CITIZENS-BHC_2017,passed,,Citizens Bank Holding Company,2017,both,16078,960
y6report_1127481_CITIZENS-BHC_2018,passed,,Citizens Bank Holding Company,2018,both,6978,901
y6report_1127481_CITIZENS-BHC_2019,passed,,Citizens Bank Holding Company,2019,both,104592,1076
y6report_1127481_CITIZENS-BHC_2020,passed,,Citizens Bank Holding Company,2020,both,91875,997
y6report_1127539_ASHBY-BSHRS_2013,failed,Invalid \escape: line 33 column 65 (char 743),,,,,
y6report_1127539_ASHBY-BSHRS_2014,passed,,"Ashby Bancshares, Inc.",2014,both,25054,560
y6report_1127539_ASHBY-BSHRS_2015,failed,Invalid \escape: line 33 column 59 (char 737),,,,,
y6report_1127539_ASHBY-BSHRS_2016,passed,,"Ashby Bancshares, Inc.",2016,both,30516,560
y6report_1127539_ASHBY-BSHRS_2017,failed,Invalid \escape: line 33 column 59 (char 739),,,,,
y6report_1127548_NOBLE-BHC_2013,passed,,"NOBLE BANK HOLDING COMPANY, INC.",2013,both,13932,292
y6report_1127548_NOBLE-BHC_2014,passed,,"NOBLE BANK HOLDING COMPANY, INC.",2014,both,14615,292
y6report_1127548_NOBLE-BHC_2015,passed,,"NOBLE BANK HOLDING COMPANY, INC.",2015,both,16131,289
y6report_1127548_NOBLE-BHC_2016,passed,,"Noble Bank Holding Company, Inc.",2016,both,4421,287
y6report_1127548_NOBLE-BHC_2017,passed,,"Noble Bank Holding Company, Inc.",2017,both,13448,289
y6report_1127548_NOBLE-BHC_2018,passed,,"Noble Bank Holding Company, Inc.",2018,both,4273,288
y6report_1127548_NOBLE-BHC_2019,passed,,"Noble Bank Holding Company, Inc.",2019,both,22145,290
y6report_1127548_NOBLE-BHC_2020,passed,,"NOBLE BANK HOLDING COMPANY, INC.",2020,both,33650,294
y6report_1127548_NOBLE-BHC_2021,passed,,"Noble Bank Holding Company, Inc.",2021,both,13262,290
y6report_1127548_NOBLE-BHC_2022,passed,,"Noble Bank Holding Company, Inc.",2022,both,12309,247
y6report_1127548_NOBLE-BHC_2023,passed,,"Noble Bank Holding Company, Inc.",2023,none,12719,64
y6report_1127548_NOBLE-BHC_2024,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1127650_WESTBRAND_2013,passed,,"WESTBRAND, INC.",2013,both,182607,4459
y6report_1127650_WESTBRAND_2014,passed,,"Westbrand, Inc.",2014,both,6952,4562
y6report_1127650_WESTBRAND_2015,passed,,"WESTBRAND, INC.",2015,both,7114,4779
y6report_1127650_WESTBRAND_2016,passed,,"Westbrand, Inc.",2016,both,15861,4504
y6report_1127650_WESTBRAND_2017,passed,,"WESTBRAND, INC.",2017,both,16893,4651
y6report_1127650_WESTBRAND_2018,passed,,"Westbrand, Inc.",2018,both,18596,4628
y6report_1127650_WESTBRAND_2019,failed,Invalid \escape: line 175 column 43 (char 5210),,,,,
y6report_1127650_WESTBRAND_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127650_WESTBRAND_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127650_WESTBRAND_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127650_WESTBRAND_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127650_WESTBRAND_2024,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127687_EITZEN-INDEP_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127717_BRYANT-BSHRS_2024,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127771_EMERY-SECURITY-BC_2024,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127799_BAY-AREA-BKG-SHARES_2024,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127847_VERNON-CENTER-BSHRS_2024,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2020,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2021,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2022,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127856_SCOTLAND-HC_2023,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127865_HANISCH-BSHRS_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127865_HANISCH-BSHRS_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127892_FLATHEAD-HC-OF-BIGFORK_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127892_FLATHEAD-HC-OF-BIGFORK_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127892_FLATHEAD-HC-OF-BIGFORK_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127913_DUKE-FNCL-GROUP_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127913_DUKE-FNCL-GROUP_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127913_DUKE-FNCL-GROUP_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127913_DUKE-FNCL-GROUP_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2013,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2014,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2015,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2016,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2017,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2018,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
y6report_1127940_FIRST-ST-AGY-OF-LE-CENTER_2019,failed,"500 None. {'fault': {'faultstring': 'calloutResponse message is not available for ExtractVariable: EV-extract-huit-rates', 'detail': {'errorcode': 'steps.extractvariables.SourceMessageNotAvailable'}}}",,,,,
